name,birthdate,bio,area,employer,headcount,Уровень образования,Профессиональные навыки,Личные качества,Знание языков,Категории водительских прав,Обязанности,Курсы и сертификаты
Учитель казахского языка и литературы,,,,,,высшее,Моделирование урока;Преподавание предметов на казахском языке;Ведение учебной документации;Работа с обучаемыми;Владение современными технологиями и методиками преподавания,Ответственность;Пунктуальность;Самостоятельность и ответственность;Стрессоустойчивость;Терпеливость;Гибкость мышления;Умение быстро принимать решения;Целеустремленность;Аккуратность;Вежливость;Работа в MS Office,,,,
Врач общей практики,,,,,,послевузовское,"Оказание квалифицированной, скорой и других видов медицинской помощи",Ответственность,,,,
Сторож,от 110 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Надзор за сохранностью имущества;Надзор за сохранностью сооружений;Охрана производителей,Адаптивность,,"B, C",,
Web-разработчик,от 900 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Кодирование и реализация web-ресурса,Адаптивность;Ответственность,,B,,
Администратор офиса,от 250 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Организация документооборота,Ответственность,,,,
Учитель начальных классов,от 250 000 тенге,,,,,техническое и профессиональное,Работа с обучаемыми;Организация учебно-воспитательного процесса;Разработка обучающих программ;Определение  четких  целей  уроков;Обеспечение методического сопровождения педагогического процесса;Проведение занятия для творческого развития детей,Адаптивность;Ответственность;Пунктуальность;Самостоятельность и ответственность;Сотрудничество и взаимодействие;Терпеливость;Умение работать в команде;Целеустремленность;Дисциплинированность;Аккуратность;Аналитическое мышление;Вежливость;Доброжелательность;Выносливость и усердие;Письменные коммуникативные навыки;Устные коммуникативные навыки;Концентрация и управление вниманием;Поиск и анализ информации;Проектное мышление;Добропорядочность,,,,
SMM-менеджер,от 240 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),"Разработка маркетинговых мероприятий для продвижения товара;Проведение переговоров и формирование коммерческих документов и соглашений;Информирование о маркетинговых акциях, продуктах и специальных предложений;Умение продвигать товары и услуги",Адаптивность;Ответственность,,,,
Учитель технологии,от 300 000 тенге,,,,,высшее,Развитие творческих способностей учащихся;Преподавание предметов на русском языке;Планирование учебного занятия;Моделирование урока;Наставничество и обучение,Адаптивность;Ответственность;Пунктуальность;Самостоятельность и ответственность,Казахский - высокий уровеньРусский - высокий уровеньАнглийский - начальный уровень,B1,,"Сертификат GDP-Надлежащая дистрибьюторская практикаGDP–этоодна из систем контроля качества, обеспечивающая качество фармацевтической продукции, которое гарантируется соответствующим контролем действий, совершаемых в ходе дистрибуции, а также инструмент, обеспечивающий защиту организации от фальсифицированных, недоброкачественных и незаконных копий лекарственных средств и изделий медицинского назначения.Сертификат Бухгалтера-Можно назвать такие обычные для бухгалтера обязанности как:работа с первичными документами (прием, составление, обработка и т.д.);ведение бухгалтерского учета (фиксация на счетах бухучета операций, имущества и обязательств);начисление заработной платы работникам и исчисление налогов с зарплаты;ведение кадрового учета;оформление расчетов с контрагентами;начисление и перечисление налогов;подготовка и сдача бухгалтерской и налоговой отчетности и.т.д.Курс Дизайнер интерьераДизайнер интерьера — это специалист, который занимается разработкой эстетически привлекательных, функциональных и удобных интерьерных решений для жилых и коммерческих помещений. Это творческая и практическая деятельность, связанная с созданием и преобразованием внутреннего пространства. Цель дизайнера интерьера - создать интерьер, который отвечает требованиям и предпочтениям клиента, а также соответствует их бюджету."
Подсобный рабочий,от 100 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Предотвращение проникновения инфекции в растения;Уход за растениями во время  вегетации,Адаптивность,,,,
Водитель автомобиля,,,,,,высшее,Безопасное управление различными машинами;Ремонт и замена частей автомобиля;Умение водить автомобиль;Осмотр легкового автомобиля и подготовка к поездке;Перевозка пассажиров и багажа;Знание правил дорожного движения,Адаптивность;Самостоятельность и ответственность;Стрессоустойчивость,,B,,
Учитель казахского языка и литературы,от 250 000 тенге,,,,,высшее,Работа с обучаемыми;Моделирование урока;Ведение учебной документации;Преподавание предметов на казахском языке;Агрохимические приемы возделывания культур;Выращивание высококачественных сортов семян,Ответственность;Пунктуальность,Казахский - высокий уровеньРусский - продвинутый уровеньАнглийский - начальный уровень,,,"""Цифрлық сауаттылық негіздері және ААЖ-да жұмыс істеу Кundelik.kz ҚР жалпы білім беретін мектептерінің мұғалімдері үшін"" тақырыбы бойынша 72 сағат көлемінде біліктілікті арттыру онлайн-курсы, ""Күнделік ЖШС"" 07.10.2022ж.""Мектептегі ""Қазақ тілі"" мен ""Қазақ әдебиеті"" сабақтары: басымдықтар және жетілдіру стратегиялары"" білім беру бағдарламалары бойынша 120 академиялық сағат көлеміндегі курс, ПШО, 06.06.2022ж.""Педагогикалық цифрлық құзырлығын дамыту"" ""Өрлеу БАҰО"" 18.09.2021ж.Сертификат: ""Цифрлық сауаттылық"" 04.06.2021ж.Қазақстан Республикасында білім беру мазмұнын жаңарту шеңберінде орыс тілді мектептердегі ""Қазақ тілі мен әдебиеті"" пәні бойынша педагог кадрлардың біліктілігін арттыру білім беру бағдарламасы бойынша 160 академиялық сағат көлеміндегі оқу курсы, ""Өрлеу БАҰО""  қараша 2020ж.""Мүмкіндігі шектеулі балалармен жұмыс"" тақырыбындағы 72 сағаттық оқу курсы, 02.10.2020ж.""Білім беру мазмұнын жаңарту жағдайында қазақ тілі мен әдебиеті пәні бойынша оқыту процесін жобалау"" тақырыбындағы 36 сағат көлеміндегі біліктілікті арттыру оқу курсы, ""Өрлеу БАҰО"" 04.10.2019ж.""Қазақ тілі мен әдебиеті мамандығынан ""Өзге ұлт өкілдеріне қазақ тілі мен әдебиеті оқыту әдістемесі"" тақырыбындағы 72 сағат көлеміндегі оқу курсы,  ОҚМПУ, ""ЮКГУ"" жауапкершілігі шектеулі серіктестігі, 31.05.2019ж."
Тренер-преподаватель по спорту,от 750 000 тенге,,,,,высшее,Планирование тренировочного процесса;Оказание первой медицинской помощи;Владение методикой обучения военной подготовки;Моделирование учебно-тренировочных занятий,"Ответственность;Пунктуальность;Самостоятельность и ответственность;Сотрудничество и взаимодействие;Стрессоустойчивость;Терпеливость;Умение быстро принимать решения;Умение работать в команде;Дисциплинированность;Эмоциональный интеллект;Аналитическое мышление;Вежливость;Устные коммуникативные навыки;Письменные коммуникативные навыки;Мотивированность;Навык ведения переговоров;Наставничество (менторинг, коучинг);Проектное мышление;Добропорядочность;Тайм-менеджмент;Лидерство;Логическое мышление;Многозадачность",,"A, B",,
Горничная,от 200 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),"Уборка общественных зон и служебных помещений;Стирка и глажка белья и мелкий ремонт;Контроль качества уборки и комплектации номеров, общественных помещений;Работа по обслуживанию гостей в номера;Уборка номерного фонда отеля после выезда гостей;Генеральная уборка номерного фонда;Текущая уборка номерного фонда отеля",Адаптивность;Ответственность;Пунктуальность;Самостоятельность и ответственность;Системное мышление;Сотрудничество и взаимодействие;Стрессоустойчивость;Терпеливость;Гибкость мышления;Умение быстро принимать решения;Умение работать в команде;Управление изменениями;Целеустремленность;Дисциплинированность;Аккуратность;Вежливость;Доброжелательность;Выносливость и усердие;Способность к обучению и самообучению;Творчество и креативность;Знание продукта;Контроль рабочих процессов;Логическое рассуждение;Проведение опросов и исследований;Проведение обзоров и мониторинг цен;Работа в MS Office;Работа в условиях неопределенности,,,,
Учитель казахского языка и литературы,от 300 000 тенге,,,,,высшее,Работа с обучаемыми;Ведение учебной документации;Преподавание предметов на казахском языке,Ответственность;Самостоятельность и ответственность;Терпеливость;Умение работать в команде;Аккуратность,Казахский - высокий уровень,,,
name,birthdate,bio,area,employer,headcount,Тип занятости,График работы,Условия труда,Стажировка,Опыт работы,Образование,Рабочих мест,Обязанности,Профессиональные навыки,Личные качества,Знание языков,Регион,Место работы,Категории водительских прав,Требования к квалификации
https://enbek.kz/ru/vacancy/elektromontazhnik-slesar-elektromontazhnik~4031453,Вакансия опубликована 24.06.2024,Слесарь-электромонтажник,от 250 000 до 400 000 тенге,Производство,Производство электрораспределительной и регулирующей аппаратуры,"Товарищество с ограниченной ответственностью ""Алматинский электромеханический завод""",Количество работников: 122,постоянная,полный рабочий день,нормальные,Не предполагается,1 год,высшее,1,1,,Выполнение электромонтажных работ;,Ответственность;Пунктуальность;Самостоятельность и ответственность;,"г. Алматы, Турксибский район",Земнухова 9А,,,""">Сборка щитового оборудования, ЩО, ЩС, ЩВ, АВР, ВРУУмение работать по принципиальным однолинейным схемам.Ответственность, работоспособностьЧтение электрических схемЭлектромонтажные работы",
https://enbek.kz/ru/vacancy/stolyar-stolyar-krasnoderevshchik~4031456,Вакансия опубликована 24.06.2024,Столяр-краснодеревщик,от 220 000 до 300 000 тенге,Производство,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,"Товарищество с ограниченной ответственностью ""Zhelezno KZ""",Количество работников: 5,постоянная,полный рабочий день,нормальные,"Предполагается, оплачивается",1 год,   общее среднее (с 1 по 11/12 классы),3,,,Наладка деревообрабатывающих станков;Изготовление деревянных моделей;Раскрой материалов для всех видов мебели;,Ответственность;Умение работать в команде;Дисциплинированность;Аккуратность;,"г. Алматы, Жетысуский район","ул.Ратушного, 80 оф 25",,,На завод спортивного оборудования  связи с расширением производства на постоянную работуТребуются СТОЛЯРЫЦех укомплектован новыми станкамиРабочая неделя 40 часов.Выплата заработной платы без задержекМалый опыт работы -  поможем с адаптацией на рабочем месте.,
https://enbek.kz/ru/vacancy/rabochii-po-kompleksnomu-obsluzhivaniyu-i-remontu-zdanii-i-sooruzhenii-rabochii-po-kompleksnomu-obsluzhivaniyu-i-remontu-zdanii~4031460,Вакансия опубликована 24.06.2024,Рабочий по комплексному обслуживанию и ремонту зданий,от 250 000 до 250 000 тенге,ЖКХ и благоустройство,Научные исследования и разработки в области космической деятельности,"Товарищество с ограниченной ответственностью ""Институт ионосферы""","«Институт ионосферы» является одним из старейших научно-исследовательских институтов в Казахстане и единственным в Средней Азии специализированным институтом, занимающийся изучением состояния ионосферы. Институт проводит исследования околоземного космического пространства, солнечно-земных связей, космической погоды, геодинамики осуществляет наземно-космический мониторинг.",постоянная,полный рабочий день,нормальные,Не предполагается,2 года,  послесреднее,1,,,"Подготовка участка к строительству, реконструкции и ремонту;Обеспечение технического состояния оборудования, зданий и сооружений;Ремонт зданий и сооружений;Ремонт и техническое обслуживание оборудования;",Ответственность;Терпеливость;Умение работать в команде;Дисциплинированность;,"г. Алматы, Бостандыкский район","СТ «Ионосфера», дом 117",,,"""> Производит систематический осмотр технического состояния закрепленных за ним объектов (зданий, сооружений, оборудования и механизмов)Производит техническое обслуживание согласно правилам эксплуатации и текущий ремонт закрепленных за ним объектов с выполнением всех видов ремонтных и строительных работ (в т.ч. штукатурных, бетонных, плотницких, столярных, слесарных, малярных)""> Производит сезонную подготовку обслуживаемых зданий, сооруженийУстраняет повреждения и неисправности по заявкам персоналаСоблюдает технологию техники безопасности и противопожарной охраныНе совершает действий, наносящих вред, финансовый или иной ущерб интересам &nbsp",
https://enbek.kz/ru/vacancy/uborshchik-territorii-uborshchik-territorii~4031477,Вакансия опубликована 24.06.2024,Уборщик территории,от 150 000 до 150 000 тенге,ЖКХ и благоустройство,Научные исследования и разработки в области космической деятельности,"Товарищество с ограниченной ответственностью ""Институт ионосферы""","«Институт ионосферы» является одним из старейших научно-исследовательских институтов в Казахстане и единственным в Средней Азии специализированным институтом, занимающийся изучением состояния ионосферы. Институт проводит исследования околоземного космического пространства, солнечно-земных связей, космической погоды, геодинамики осуществляет наземно-космический мониторинг.",постоянная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,  послесреднее,1,,,Работы по благоустройству территории жилых и нежилых зданий;Контроль поддержания порядка и чистоты на территории и в помещениях цехов;Уборка (чистка) фасадов;,Ответственность;Дисциплинированность;,"г. Алматы, Бостандыкский район","СТ «Ионосфера», дом 117",,,""">1) убирает территорию (от снега, листвы, мусора) согласно утвержденным нормам ДТОО"">2) посыпает дорожки в зимний период"">3) осуществляет обрезку кустарника"">4) поливает клумбы"">5) стрижет газоны"">6) проводит работы по благоустройству и озеленению территории",
https://enbek.kz/ru/vacancy/vospitatel~4031012,Вакансия опубликована 24.06.2024,Воспитатель,от 220 000 до 240 000 тенге,Образование и воспитание,Дошкольное образование,"Товарищество с ограниченной ответственностью ""Маленькие звездочки""",Товарищество с ограниченной ответственностью,постоянная,полный рабочий день,нормальные,"Предполагается, оплачивается",2 года,высшее,2,,,"Проведение воспитательных мероприятий;Проведение занятия для творческого развития детей;Сотрудничество с родителями, социальными партнерами;",Самостоятельность и ответственность;Стрессоустойчивость;Умение работать в команде;Вежливость;Доброжелательность;,"г. Алматы, Турксибский район",,Русский / высокий уровеньКазахский / средний уровеньАнглийский / начальный уровень,,,
https://enbek.kz/ru/vacancy/programmist-1s~4031016,Вакансия опубликована 24.06.2024,Программист 1С,от 700 000 до 700 000 тенге,IT и телекоммуникации,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,"Товарищество с ограниченной ответственностью ""ST Networks""","Мы занимаемся дистрибуцией. Мы понимаем свое назначение, любим и умеем делать нашу работу. За многие годы присутствия на рынке телекоммуникационного и ИТ-оборудования был накоплен опыт и знания, которые позволяют понимать и удовлетворять потребности наших партнеров. Наш главный капитал - это честное имя и репутация надежного партнера. Работая по линии Консьюмерской (розничной) дистрибуции, мы поставляем оборудование нашим Партнерам - компаниям, работающим в ИТ-ритейле. Каждый наш клиент, начиная от самого небольшого, получает возможность участвовать во всех партнерских программах, направленных на стимуляцию продаж. Мы заботимся о прибыльности вашего бизнеса. Независимо от того, насколько крупна ваша Компания и бизнес, вы получите продукт и условия, которые позволят вам зарабатывать. Если вы работаете в сфере розничной ИТ-торговли, или планируете начать бизнес в этой области, но пока не являетесь нашим партнером, позвоните нам. Мы не работаем в Ритейле, поэтому не составим вам конкуренцию. Напротив, мы, зная все об этом бизнесе, поможем вашей Компании быть еще более успешной. Другая часть нашей работы - Корпоративная (проектная) дистрибуция. Мы открыты для наших Партнеров - Компаний, работающих с корпоративными клиентами в области системной интеграции, занимающихся инсталляциями, а также для компаний, чей бизнес связан с участием в конкурсах, тендерах по закупкам ИТ и телекоммуникационного оборудования. Сохраняя принцип классической дистрибуции, мы не участвуем в тендерах, не выходим с коммерческими предложениями на конечного заказчика. Понимая важность сохранности коммерческой информации, мы гарантируем конфиденциальность, защиту проектов Партнера, по которым совместно работаем. Мы готовы оказать консалтинговую поддержку и помощь в выборе решения по проекту. Статус дистрибутора и тесные отношения с производителем оборудования позволяют нам предоставлять специальные проектные цены. Мы даем корректные сроки поставки оборудования и отвечаем за их исполнение. Ценя ваше время, и относясь с уважением к вашему делу, мы всегда открыты для диалога, в котором всегда сможем найти правильное решение любой задачи. Мы в этом уверены.",постоянная,полный рабочий день,нормальные,Не предполагается,3 года,высшее,1,,,Работа в программе 1С:Бухгалтерия;,Ответственность;Пунктуальность;Самостоятельность и ответственность;Стрессоустойчивость;Умение работать в команде;,"г. Алматы, Алмалинский район",Мұратбаев көшесі,Английский / средний уровень,,""">Обязанности:При собеседованииПоиск справочной информации в интернете.Требования:Уверенные навыки работы в системах и решениях фирмы &laquo1С&raquo1С ЗУП&raquo, 1С КА, 1С УТП"">Разработка нового и доработка существующего функционала конфигурации 1С"">Консультирование пользователей по работе с информационными системами 1С"">Сбор и анализ заявок на доработку конфигураций 1С"">Тестирование доработок 1С, поиск ошибок и недочётов, генерация новых идей и функционала"">Настройка отчетов"">Доработка Прав пользователей в программе 1С, согласно ТЗ"">Разработка инструкций по работе с функционалом, оформление необходимой технической документации"">Высшее образование (желательно экономическое или (и, или) техническое (очень желательно)"">Опыт работы не менее 1 года"">Желательно наличие сертификатов 1С.Условия:Оформление согласно ТК РКСтабильную и своевременную заработную платуРаботу в молодом и дружном коллективе.",
https://enbek.kz/ru/vacancy/medicinskii-rabotnik-medicinskaya-sestra-po-dieticheskomu-pitaniyu~4031024,Вакансия опубликована 24.06.2024,Медицинская сестра по диетическому питанию,от 140 000 до 160 000 тенге,Медицина и фармацевтика,Дошкольное образование,"Товарищество с ограниченной ответственностью ""Маленькие звездочки""",Товарищество с ограниченной ответственностью,постоянная,неполная рабочая неделя,нормальные,Не предполагается,1 год, техническое и профессиональное,1,,,"Оказание доврачебной помощи;Оценка состояния здоровья и физического развития детей и подростков;Проведение здорового образа жизни, рационального питания;",Ответственность;Сотрудничество и взаимодействие;Умение работать в команде;,"г. Алматы, Турксибский район",,Русский / высокий уровеньКазахский / средний уровень,,"в частный детский сад требуется медицинский работникОбязанности: оказание доврачебной медицинской помощи, составление меню, ведение документацииТребования: медицинское образование, опыт работы желателен, коммуникабельность, ответственность, владение ПК Условия: частичная занятость, соцпакет, своевременная оплата труда, дружный коллектив; местонахождение: Турксибский район м-н Жулдыз -2",
https://enbek.kz/ru/vacancy/dekan-shkoly-obshchei-mediciny-2-rukovoditel-otdela-(v-obrazovanii)~4031088,Вакансия опубликована 24.06.2024,Руководитель отдела (в образовании),от 500 000 тенге,Образование и воспитание,Высшее образование,"Некоммерческое акционерное общество ""Казахский национальный медицинский университет имени С. Д. Асфендиярова""",Количество работников: 32,постоянная,полный рабочий день,нормальные,Не предполагается,5 лет,послевузовское,1,,,,Ответственность;Пунктуальность;Умение работать в команде;,"г. Алматы, Алмалинский район",Толе би  94,,,"Декан Школы общей медицины&nbsp"">Квалификационные требования к должностидекана школы/факультета:К должности декана школы\факультета предъявляются следующие требования:1. Наличие высшего образования"">2. Наличие ученой степени&nbsp"">или академической степени&nbsp"">доктора&nbsp"">философии ()/по профилю3. Наличие научно-педагогического стажа не менее 5 лет"">4. Наличие стажа работы на руководящей должности в сфере высшего образования не менее 3 летНаличие сертификата о повышении квалификации по менеджменту в образовании/здравоохранении (в объеме не менее 36 часов) за последние 3 года6. Владение государственным языком на профессиональном уровне, обеспечивающем возможность полноценного применения языка в рамках занимаемой должности, ведения работы с документацией"">7. Предпочтительно&nbsp"">владение английским языком (наличие сертификата&nbspна уровне не ниже&nbsp"">или диплом об образовании на английском языке иностранного вузаПрофессиональные навыкиРазрабатывает стратегию развития школы/факультета, укрепляет и развивает внешние связи с работодателями и с другими организациями по направлениям деятельности школы/факультета; руководит учебной, научной, социально-воспитательной и финансовой работой школы/факультета, организует работу по созданию научно-методического и учебно-методического обеспечения учебно-воспитательного процесса;Ответственность;Пунктуальность;Умение работать в команде;г. Алматы, Алмалинский районТоле би  94",
https://enbek.kz/ru/vacancy/menedzher-po-prodazhe-zhiloi-nedvizhimosti-v-zhk-agent-po-nedvizhimosti~4031176,Вакансия опубликована 24.06.2024,Агент по недвижимости,от 200 000 тенге,Торговля и складирование,Аренда и управление собственной недвижимостью,"Товарищество с ограниченной ответственностью ""Халык Актив""",Количество работников: 100,постоянная,полный рабочий день,нормальные,"Предполагается, не оплачивается",3 года,высшее,1,,1,Оформление операции с недвижимостью;Знакомство клиентов с объектами недвижимости;Изучение спроса и предложений на рынке недвижимости;,Ответственность;Системное мышление;Умение работать в команде;Поиск и анализ информации;,"г. Алматы, Бостандыкский район",,Казахский / средний уровень,,"Показ жилой недвижимости потенциальным клиентамКонсультации клиентов по объеткам продажСопровождение сделки по продажеНаличие авто обязательноУсловия:Режим труда и отдыха: пятидневка, с 09.00 ч.до 18.00 ч., с перерывом с 13.00 ч. до 14.00 ч."">Трудовой отпуск 26 календарных дней"">Оформление в соответствии с Трудовым законодательством.",
https://enbek.kz/ru/vacancy/specialist-(operator)-kontakt-centra~4031215,Вакансия опубликована 24.06.2024,Специалист (оператор) контакт-центра,от 160 000 до 250 000 тенге,Индивидуальные услуги и сервис,Финансовая и страховая деятельность,"Акционерное общество ""Home Credit Bank""",Количество работников: 4072,постоянная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,высшее,10,,,Прием и распределение входящих звонков;Информационно-справочное консультирование клиентов;,Ответственность;Целеустремленность;Способность к обучению и самообучению;,"г. Алматы, Алмалинский район",,Русский / высокий уровень,,""">Команда Home Credit Bank ищет специалиста в call-центрОбязанности:-Консультация клиентов Банка по телефону по условиям продукта-Своевременно и эффективно осуществлять исходящие и входящие звонки-Фиксировать результаты каждого входящего и исходящего звонка в программах Банка-Продажа банковских продуктов как кредит, карта, депозит, кредитная карта.Нам по пути, если у тебя есть :-Среднее, незавершенное высшее, высшее образование-Опыт работы не объязателен-Уверенное владение казахским и русским языками, грамотная речьЧто мы предлагаем:-Стать частью Европейского Банка-Обучение и дальнейшее профессиональное развитие, возможности карьерного роста, бенефиты для сотрудников-Возможность удаленной работы из любого города Казахстана&nbsp"" />-Конкурентоспособная заработная плата+ ежемесячные бонусы %-Кредиты для сотрудников по выгодной ставке-Депозиты ""ДЛЯ СВОИХ"" с повышенной ставкой-Незабываемые корпоративы, тимбилдниги, ежеквартальные встречи в внеформальной обстановке-Возможность работать в современном офисе в центре города, где есть все для отдыха после работы как: тренажорный и теннисный зал, Playstaion, комната отдыха и бесплатный кофе5/2, 2/2 сменный",
https://enbek.kz/ru/vacancy/malyar~4031199,Вакансия опубликована 24.06.2024,Маляр,от 85 000 тенге,Строительство и архитектура,Штукатурные работы,"Товарищество с ограниченной ответственностью ""Doda Group""",Количество работников: 1,временная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,   общее среднее (с 1 по 11/12 классы),2,,,Проведение строительных и ремонтных работ;,Ответственность;,"г. Алматы, Бостандыкский район","Улица Туркебаева, 233",,,,
https://enbek.kz/ru/vacancy/malyar~4031241,Вакансия опубликована 24.06.2024,Маляр,от 85 000 тенге,Строительство и архитектура,Штукатурные работы,"Товарищество с ограниченной ответственностью ""Doda Group""",Количество работников: 1,временная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,   общее среднее (с 1 по 11/12 классы),1,,,Проведение строительных и ремонтных работ;,Ответственность;,"г. Алматы, Алмалинский район","​Богенбай батыра улица, 262",,,,
https://enbek.kz/ru/vacancy/specialist-(operator)-kontakt-centra~4031218,Вакансия опубликована 24.06.2024,Специалист (оператор) контакт-центра,от 160 000 до 250 000 тенге,Индивидуальные услуги и сервис,Финансовая и страховая деятельность,"Акционерное общество ""Home Credit Bank""",Количество работников: 4072,постоянная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,высшее,10,,,Прием и распределение входящих звонков;Информационно-справочное консультирование клиентов;,Ответственность;Целеустремленность;Способность к обучению и самообучению;,"г. Алматы, Медеуский район",,Русский / высокий уровень,,"Команда Home Credit Bank ищет специалиста в call-центрОбязанности:-Консультация клиентов Банка по телефону по условиям продукта-Своевременно и эффективно осуществлять исходящие и входящие звонки-Фиксировать результаты каждого входящего и исходящего звонка в программах Банка-Продажа банковских продуктов как кредит, карта, депозит, кредитная карта.Нам по пути, если у тебя есть :-Среднее, незавершенное высшее, высшее образование-Опыт работы не объязателен-Уверенное владение казахским и русским языками, грамотная речьЧто мы предлагаем:-Стать частью Европейского Банка-Обучение и дальнейшее профессиональное развитие, возможности карьерного роста, бенефиты для сотрудников-Возможность удаленной работы из любого города Казахстана-Конкурентоспособная заработная плата+ ежемесячные бонусы %-Кредиты для сотрудников по выгодной ставке-Депозиты ""ДЛЯ СВОИХ"" с повышенной ставкой-Незабываемые корпоративы, тимбилдниги, ежеквартальные встречи в внеформальной обстановке-Возможность работать в современном офисе в центре города, где есть все для отдыха после работы как: тренажорный и теннисный зал, Playstaion, комната отдыха и бесплатный кофеГрафик работы:5/2, 2/2 сменный",
https://enbek.kz/ru/vacancy/voditel-mikroavtobusa~4030792,Вакансия опубликована 24.06.2024,Водитель микроавтобуса,от 98 015 до 150 000 тенге,Транспорт и логистика,Научные исследования и разработки в области космической деятельности,"Товарищество с ограниченной ответственностью ""Астрофизический институт имени В.Г.Фесенкова""",Количество работников: 108,постоянная,полный рабочий день,нормальные,Не предполагается,1 год,  послесреднее,1,,,"Уход за машиной, поиск и устранение неисправностей;Умение водить автомобиль;Перевозка пассажиров и багажа;Знание правил дорожного движения;",Ответственность;Стрессоустойчивость;,"г. Алматы, Медеуский район","г. Алматы, Медеуский р-н, Обсерватория, 23",,,"- Обеспечить корректное плавное профессиональное вождение автомобиля, максимально обеспечивающее сохранность жизни и здоровья пассажиров и технически исправное состояние самого автомобиля. Не применять без крайней необходимости звуковые сигналы и резкие обгоны впереди идущих автомобилей. Водитель обязан и может предвидеть любую дорожную обстановкувыбирать скорость движения и дистанцию, исключающие возникновение аварийной ситуации.- Не оставлять автомобиль без присмотра за пределами видимости на любой минимальный срок, дающий шанс угона автомобиля или кражи каких-либо вещей из салона. Парковать автомобиль лишь на охраняемых стоянках.- Во время движения",
"https://enbek.kz/ru/vacancy/gid-provodnik,-organizator-meropriyatii-organizator-meropriyatii~4031250",Вакансия опубликована 24.06.2024,Организатор мероприятий,от 85 000 до 85 000 тенге,Туризм,"Предоставление прочих индивидуальных услуг, не включенных в другие группировки","Товарищество с ограниченной ответственностью ""Туранга Групп""",Количество работников: 1,сезонная,неполный рабочий день,нормальные,Не предполагается,Опыт не требуется,  послесреднее,10,,,Обслуживание массовых мероприятий;Организаторские навыки;,Ответственность;Пунктуальность;Устные коммуникативные навыки;,"г. Алматы, Бостандыкский район",,Казахский / средний уровеньРусский / средний уровеньАнглийский / средний уровень,,"консультация по услугам,по проведению официальных приемов гостей ипоситителейпри визит центрепо вопросам системы продвижения туров/продуктов в целях увеличения продаж у Заказчика, посвященные ознакомлению с услугами, условиями сотрудничества, динамикой и перспективами развития компании"">ообъясняет/информируетпосетителеймаршрут движения внутривизит центра и по маршрутам экскурсий на территории паркапроведение экскурсий, их сопровождение необходимыми пояснениями и рассказами"">активно участвует припоконсультированию и информированиюклиентов по вопросам туров/продуктов Заказчика"">по проведению кампаний/мероприятий в целях поддержания интереса и повышения спроса у клиентов на туры/продукты Заказчикарассматривает претензии, связанные с неудовлетворительным обслуживаниемпосетилей и предлагаетсоответствующие организационно-технические мероприятия.информируетЗаказчикаоб имеющихся недостатках в обслуживаниипосетителей визит центра, предлагаетмеры к их ликвидацииВыполнению других поручений Заказчика.",
"https://enbek.kz/ru/vacancy/inzhener-laboratorii-kosmologii,-zvezdnoi-dinamiki-i-vychislitelnoi-astrofiziki-nauchnyi-sotrudnik-(v-oblasti-fiziki-i-astronomii)~4030793",Вакансия опубликована 24.06.2024,Научный сотрудник (в области физики и астрономии),от 110 000 тенге,Наука и консалтинг,Научные исследования и разработки в области космической деятельности,"Товарищество с ограниченной ответственностью ""Астрофизический институт имени В.Г.Фесенкова""",Количество работников: 108,постоянная,полный рабочий день,нормальные,Не предполагается,3 года,высшее,1,,,Владение методами обработки и анализа экспериментальной и теоретической информации;,Умение быстро принимать решения;,"г. Алматы, Медеуский район","г. Алматы, Медеуский р-н, Обсерватория, 23",Английский / высокий уровень,,"1.Участвует в работе семинаров, конференции, научно-технических обществ.2. Составляет разделы научно - технических отчетов о выполненных работах.3.Принимает участие в подготовке публикаций, составлении заявок.",
https://enbek.kz/ru/vacancy/pomoshchnik-vospitatelya-pomoshchnik-vospitatelya~4030854,Вакансия опубликована 24.06.2024,Помощник воспитателя,от 85 000 до 150 000 тенге,Образование и воспитание,Дошкольное образование,"Коммунальное государственное казенное предприятие ""Ясли-сад №20"" Управления образования города Алматы",Количество работников: 28,постоянная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,  послесреднее,4,,,Умение работать в команде;,Ответственность;Самостоятельность и ответственность;,"г. Алматы, Алмалинский район",прт. Абылайхана 102/68,Русский / начальный уровень,,Санитарное состояние помещений,
